"G1","G2","Score","DifferenceinPotential","ActualPotential","ConstRatio","MeanPotPoints","ConstDiffmax","ConstDiffmean"
"ESSFwm 3 /105","ESSFwm 4 /101",13.316144770417,30.7792307692308,0.43263409895639,0.727272727272727,59.8896153846154,0.823109978219122,0.777655196399247
"ESSFwm 2 /101","ESSFwm 1 /104",13.0215481627397,41.4189331103679,0.314386373208637,0.666666666666667,80.1658511705686,0.87091442727208,0.83756739343996
"ESSFwm 2 /101","ESSFwm 1 /101",1.16934975492158,33.7635415019763,0.0346335041557512,0.875,86.9243162055336,0.988735248681406,0.986547495499917
"ESSFwm 2 /101","ESSFwh 2 /101",13.6135149029605,72.6447185354691,0.187398549783266,0.523809523809524,99.2577276887872,0.899590602067352,0.862846800748408
"ESSFwm 2 /101","ESSFwm 2 /110",6.5,43.4573043478261,0.149572093749187,0.947368421052632,97.7200434782609,0.94558333212003,0.933483451617108
"ESSFwm 2 /101","ESSFwc 4 /103b",14.2285714941693,33.8604782608696,0.420211769737829,0.5,80.9245434782609,0.854595032405653,0.824174831483707
"ESSFwm 2 /101","ESSFwm 3 /110",8.10999216536659,50.0015869565217,0.162194695388739,0.75,94.2057934782609,0.931966912463281,0.913911959488584
"ESSFwm 2 /101","ESSFwc 4 /103a",9.45043289224953,40.6284782608696,0.232606124983802,0.8125,79.0905434782609,0.904929796693476,0.880511215669581
"ESSFwm 2 /101","ESSFwm 4 /101",1.61696724914319,31.3060869565217,0.0516502510003519,0.846153846153846,77.1530434782609,0.98257692677097,0.979042080827326
"ESSFwm 2 /101","ESSFwm 4 /110",13.042124086401,54.7850543478261,0.238059891363757,0.714285714285714,97.3999184782609,0.895489474396932,0.866097176566817
"ESSFwh 2 /110","ESSFwh 3 /110",4.46180555555556,46.0314375,0.0969295289888689,0.833333333333333,103.64946875,0.964774807951431,0.95695293367767
"ESSFwh 2 /110","ESSFwh 2 /111",12.2600188626689,73.2566666666667,0.167357039577771,0.739130434782609,110.095,0.916441246363889,0.88864145635434
"ESSFwh 2 /110","ESSFwh 2 /101",10.403267748368,67.1300701754386,0.154971799093609,0.681818181818182,104.624684210526,0.924717498514377,0.900565838483828
"ESSFwh 2 /110","ESSFwm 2 /110",3.68674076810936,48.4473333333333,0.0760979090994213,0.761904761904762,103.087,0.971041383533383,0.96423660822306
"ESSFwh 2 /110","ESSFwm 1 /110",6.1,32.9588235294118,0.185079421738354,0.888888888888889,96.7311764705882,0.946118114082034,0.936938635271796
"ESSFwh 2 /110","ESSFwh 1 /101",12.3992715895758,54.3955238095238,0.227946542678661,0.666666666666667,98.3781428571429,0.901260742551805,0.873963146391358
"ESSFwh 2 /110","ESSFwm 4 /110",13.5406011536044,56.6204166666667,0.239146971194509,0.521739130434783,102.766875,0.896697417967638,0.8682396331152
"ESSFwh 2 /110","ESSFdk 2 /110",14.0970377930027,81.09,0.173844343235945,0.541666666666667,107.995,0.905096015935083,0.869465829038356
"ESSFwm 1 /104","ESSFwm 1 /101",6.65591184158643,34.7685384615385,0.191434904545939,0.6,75.2840804195804,0.928174917685487,0.911589385106505
