PlotNumber Species Cover
02-0828 DRABALP-6 1.00000004749745E-03
02-0828 DRYAINT-6 8
02-0828 HYPNCUP-7 0.100000001490116
02-0828 KIAEBLY-7 0.100000001490116
02-0828 MOSS-7 1
02-0828 PARRARC-6 1.00000004749745E-03
02-0828 PEDILAN-6 1.00000004749745E-03
02-0828 SALIARC-5c 3
02-0828 SAXIOPP-6 0.100000001490116
02-0828 TORTNOR-7 0.100000001490116
02-0829 ARCTLAT-6 2
02-0829 BRAYGLA-6 1.00000004749745E-03
02-0829 BRYUM-7 3
02-0829 CAREAQU3-6 40
02-0829 CAREFUL-6 9.99999977648258E-03
02-0829 CAREMEM-6 1
02-0829 DRABALP-6 1.00000004749745E-03
02-0829 DREPANO-7 2
02-0829 DRYAINT-6 4
02-0829 ERIOANG-6 1
02-0829 ERIOTRI-6 10
02-0829 JUNCBIG-6 1.00000004749745E-03
02-0829 PARRARC-6 3.00000002607703E-03
02-0829 PEDISUD3-6 9.99999977648258E-03
02-0829 SALIARC-5c 1
02-0829 SAXIOPP-6 9.99999977648258E-03
02-0830 ANTHARC-6 9.99999977648258E-03
02-0830 ARCTLAT-6 2
02-0830 BRACTUR-7 0.100000001490116
02-0830 BRYULIS1-7 2
02-0830 CAMPSTE-7 2
02-0830 CAREAQU3-6 45
02-0830 CAREFUL-6 9.99999977648258E-03
02-0830 CAREMEM-6 2
02-0830 CATONIG-7 0.100000001490116
02-0830 CINCLAT-7 0.100000001490116
02-0830 DRABALP-6 1.00000004749745E-03
02-0830 DREPPOL-7 0.100000001490116
02-0830 ERIOANG-6 25
02-0830 ERIOSCH-6 5
02-0830 PARRARC-6 1.00000004749745E-03
02-0830 PEDISUD3-6 3
02-0830 SAXIHIR-6 1.00000004749745E-03
02-0830 SCORCOS-7 30
02-0830 SILEURA-6 4.99999988824129E-03
02-0830 STELLOG-6 1.00000004749745E-03
02-0831 ASTRALP-6 0.200000002980232
02-0831 AULATUR-7 2
02-0831 BLEPTRI-7 0.100000001490116
02-0831 CAREFUL1-6 3
02-0831 CARESCI-6 2
02-0831 CASSTET-6 10
02-0831 CETRDEL-7 10.1000003814697
02-0831 CETRERI-7 0.100000001490116
02-0831 CETRISL1-7 0.100000001490116
02-0831 CRATFIL-7 0.200000002980232
02-0831 CYNOGLA-7 0.100000001490116
02-0831 DACTRAM-7 0.100000001490116
02-0831 DICRFUL-7 0.100000001490116
02-0831 DISTCAP-7 5
02-0831 DRYAINT-6 30
02-0831 FLAVNIV-7 0.100000001490116
02-0831 HYLOSPL-7 0.200000002980232
02-0831 HYPNBAM-7 0.100000001490116
02-0831 LECAEPI-7 20
02-0831 MYURJUL-7 0.100000001490116
02-0831 ORTHOTH-7 15
02-0831 OXYTMAY-6 0.200000002980232
02-0831 PARRARC-6 0.100000001490116
02-0831 PEDILAN-6 0.200000002980232
