"APCFamily","FamilyCode","OldCode","Code","SplCode","TreeCode","ScientificName","Lifeform","Authority","EnglishName","ShortenedGuideName","EnglishNameUpdate2018","Native","Codetype","ID","TaxonLevel","IsAttribute","Report"
"POTAMOE","POTAMOE","POTAGRA","POTAGRA","POTAGRA",,"Potamogeton gramineus",7,"L.","grass-leaved pondweed",,"grass-leaved pondweed","N","U",13582,"spe",0,1
,"POTAMOE","POTAGRA1","POTAGRA","POTAGRA",,"Potamogeton gramineus f. gramineus",7,,,,,,"S",13583,"spe",0,0
,"POTAMOE","POTAGRA2","POTAGRA","POTAGRA",,"Potamogeton gramineus f. maximus",7,"(Morong ex Bennett) House",,,,,"S",13584,"spe",0,0
,"POTAMOE","POTAGRA3","POTAGRA","POTAGRA",,"Potamogeton gramineus var. maximus",7,"Morong",,,,,"S",13585,"var",0,0
,"POTAMOE","POTAGRA4","POTAGRA","POTAGRA",,"Potamogeton gramineus var. myriophyllus",7,"Robbins",,,,,"S",13586,"var",0,0
,"POTAMOE","POTAHET","POTAGRA","POTAGRA",,"Potamogeton heterophyllus",7,"Schreber",,,,,"S",13587,"spe",0,0
"POTAMOE","POTAMOE","POTAILL","POTAILL","POTAILL",,"Potamogeton illinoensis",7,"Morong","Illinois pondweed",,"Illinois pondweed","N","U",13588,"spe",0,1
"POTAMOE","POTAMOE","POTANAT","POTANAT","POTANAT",,"Potamogeton natans",7,"L.","floating-leaved pondweed",,"floating-leaved pondweed","N","U",13589,"spe",0,1
"POTAMOE","POTAMOE","POTANOD","POTANOD","POTANOD",,"Potamogeton nodosus",7,"Poir.","long-leaved pondweed",,"long-leaved pondweed","N","U",13590,"spe",0,1
,"POTAMOE","POTANUT","POTAEPI","POTAEPI",,"Potamogeton nuttallii",7,"Cham. & Schlecht.",,,,,"S",13591,"spe",0,0
,"POLYGOA","POLYHYR","PERSHYR","PERSHYR",,"Polygonum hydropiperoides",7,"Michx.",,,,,"S",13592,"spe",0,0
,"POLYGOA","POLYHYR1","PERSHYR","PERSHYR",,"Polygonum hydropiperoides var. hydropiperoides",7,,,,,,"S",13593,"var",0,0
,"POLYGOA","POLYKEL","POLYPOL1","POLYPOL",,"Polygonum kelloggii",7,"Greene",,,,,"S",13594,"spe",0,0
,"POLYGOA","POLYLAP","PERSLAP","PERSLAP",,"Polygonum lapathifolium",7,"L.",,,,,"S",13595,"spe",0,0
"POLYGOA","POLYGOA","POLYMAJ","POLYMAJ","POLYMAJ",,"Polygonum majus",7,"(Meisn.) Piper","wiry knotweed",,"wiry knotweed","N","U",13596,"spe",0,1
"POLYGOA","POLYGOA","POLYMIN","POLYMIN","POLYMIN",,"Polygonum minimum",7,"S. Wats.","leafy dwarf knotweed",,"leafy dwarf knotweed","N","U",13597,"spe",0,1
,"POLYGOA","POLYMIU","PERSMIN","PERSMIN",,"Polygonum minus",7,"Hudson",,,,,"S",13598,"spe",0,0
,"POLYGOA","POLYNAT","PERSAMP","PERSAMP",,"Polygonum natans",7,"Michx.",,,,,"S",13599,"spe",0,0
,"POLYGOA","POLYNEP","PERSNEP","PERSNEP",,"Polygonum nepalense",7,"Meisn.",,,,,"S",13600,"spe",0,0
"POLYGOA","POLYGOA","POLYNUT","POLYNUT","POLYNUT",,"Polygonum nuttallii",7,"Small","Nuttall's knotweed",,"Nuttall's knotweed","N","U",13601,"spe",0,1
"POLYGOA","POLYGOA","POLYPAR","POLYPAR","POLYPAR",,"Polygonum paronychia",7,"Cham. & Schlecht.","black knotweed",,"black knotweed","N","U",13602,"spe",0,1
,"POLYGOA","POLYPES","PERSMAC","PERSMAC",,"Polygonum persicaria",7,"L.",,,,,"S",13603,"spe",0,0
"POLYGOA","POLYGOA","POLYPOL","POLYPOL","POLYPOL",,"Polygonum polygaloides",7,"Meisn.","close-flowered knotweed",,"milkwort knotweed","N","U",13604,"spe",0,1
"POLYGOA","POLYGOA","POLYPOL2","POLYPOL2","POLYPOL",,"Polygonum polygaloides ssp. confertiflorum",7,"(Piper) Hickman","close-flowered knotweed",,"close-flowered knotweed","N","U",13605,"sub",0,1
"POLYGOA","POLYGOA","POLYPOL1","POLYPOL1","POLYPOL",,"Polygonum polygaloides ssp. kelloggii",7,"(Greene) Hickman","Kellogg's knotweed",,"Kellogg's knotweed","N","U",13606,"sub",0,1
,"POLYGOA","POLYPOY","PERSWAL1","PERSWAL",,"Polygonum polystachyum",7,"Wall. ex Meisn.",,,,,"S",13607,"spe",0,0
"POLYGOA","POLYGOA","POLYPRO","POLYRAM3","POLYRAM",,"Polygonum prolificum",7,"(Small) B.L. Robins.",,,,,"S",13608,"spe",0,0
