YearOfChange,ChangeDescription,FamilyCode,OldCode,Code,SplCode,TreeCode,ScientificName,Lifeform,Authority,EnglishName,Codetype,Province,Native,TaxonLevel,IsAttribute,ID
2014,CDC excluded,POACEAE,AEGICYL,AEGICYL,AEGICYL,,Aegilops cylindrica,6,Host,jointed goatgrass,X,BC,E,spe,FALSE,167
,,APIACEA,AEGOPOA,AEGOPOA,AEGOPOA,,Aegopodium podagraria,7,L.,goutweed,U,BC,E,spe,FALSE,168
,,APIACEA,AEGOPOD,AEGOPOD,AEGOPOD,,Aegopodium sp.,7,,,U,BC,E,gen,FALSE,169
2013,new exotic,SAPINDA,AESCHIP,AESCHIP,AESCHIP,,Aesculus hippocastanum,2,L.,horse chestnut,U,BC,E,spe,FALSE,170
2014,added genus code,SAPINDA,AESCULU,AESCULU,AESCULU,,Aesculus sp.,,,,U,BC,,gen,FALSE,171
,,LAMIACE,AGASANE,AGASFOE,AGASFOE,,Agastache anethiodora,7,(Nutt.) Britt.,,S,BC,,spe,FALSE,172
,,LAMIACE,AGASFOE,AGASFOE,AGASFOE,,Agastache foeniculum,7,(Pursh) Kuntze,giant-hyssop,U,BC,E,spe,FALSE,173
,,LAMIACE,AGASTAC,AGASTAC,AGASTAC,,Agastache sp.,7,,,U,BC,N,gen,FALSE,174
,,LAMIACE,AGASURT,AGASURT,AGASURT,,Agastache urticifolia,7,(Benth.) Kuntze,nettle-leaved giant-hyssop,U,BC,N,spe,FALSE,175
,,NOTUSED,AGONIMI,AGONIMI,AGONIMI,,Agonimia sp.,11,,trifle lichens,U,BC,N,gen,FALSE,176
,,NOTUSED,AGONTRI,AGONTRI,AGONTRI,,Agonimia tristicula,11,(Nyl.) Zahlbr.,moss trifle,U,BC,N,spe,FALSE,177
,,NOTUSED,POLYTRS,AGONTRI,AGONTRI,,Polyblastia tristicula,11,(Nyl.) Arnold,,S,BC,,spe,FALSE,178
,,ASTERAC,AGOSAUR,AGOSAUR,AGOSAUR,,Agoseris aurantiaca,7,(Hook.) Greene,orange agoseris,U,BC,N,spe,FALSE,179
,,ASTERAC,AGOSAUR2,AGOSAUR2,AGOSAUR,,Agoseris aurantiaca ssp. aurantiaca,7,,orange agoseris,U,BC,N,sub,FALSE,180
2009,excluded,ASTERAC,AGOSELA,AGOSELA,AGOSELA,,Agoseris elata,7,(Nutt.) Greene,tall agoseris,X,BC,,spe,FALSE,181
,,ASTERAC,AGOSERI,AGOSERI,AGOSERI,,Agoseris sp.,7,,,U,BC,N,gen,FALSE,182
,,ASTERAC,AGOSGLA,AGOSGLA,AGOSGLA,,Agoseris glauca,7,(Pursh) Raf.,short-beaked agoseris,U,BC,N,spe,FALSE,183
